singer	song	lyric	next_lyric
五月天	超人	为什么我能飞天 \n也能够遁地	为什麼我却没办法\n 长驱直入 你的心
五月天	超人	为什么拯救地球 \n终于完美结局	为什么 我只能够 眼看著爱燃烧成 灰烬\n世界如果被残酷攻击 谁来接手我的超能力
周杰伦	超人不会飞	我的枪 不会装弹药 弹药\n所以放心 不会有人倒 人倒	我拍青蜂侠 不需要替身\n因为自信是我绘画的颜料
周杰伦	超人不会飞	妈妈说很多事别太计较\n只是使命感找到了我 我睡不着	如果说 骂人要有点技巧\n我会加点旋律 你会觉得 超好
周杰伦	超人不会飞	我做很多事背后的意义远比你们想象\n拍个电视剧为了友情与十年前的梦想	收视率再高也难抗衡 我的伟大理想\n因为我的人生 无需再多一笔那奖项
周杰伦	超人不会飞	喔如果超人会飞\n那就让我在空中停一停歇	再次俯瞰这个世界\n会让我觉得好一些
许嵩	尘世美	他们都说尘世那么美\n相守着你爱的那个谁	白发渔樵 老月青山\n平平淡淡值得珍贵
张惠妹	趁早	要是我早可以和你一刀两断 \n 我们就不必在爱里勉强	可是我真的不够勇敢\n总为你忐忑 为你心软
张惠妹	趁早	我可以永远笑着 扮演你的配角\n在你的背后自己煎熬	如果你不想要\n想退出要趁早
张惠妹	趁早	你总是要我在你身旁\n说幸福该是什么模样	你给我的天堂\n其实是一片荒凉
张惠妹	趁早	我可以不问感觉  继续为爱讨好 \n冷眼的看着你的骄傲	若有情太难了 想别恋要趁早\n就算迷恋你的拥抱忘了就好
林宥嘉	成全	我对你付出的青春这么多年\n换来了一句谢谢你的成全	成全了你的潇洒与冒险\n成全了我的碧海蓝天
林宥嘉	成全	她许你的海誓山盟蜜语甜言\n我只有一句不后悔的成全	成全了你的今天与明天\n成全了我的下个夏天
汪苏泷	城	谁的心事盘旋着小城\n诗人站在房顶等	那个迷失了的风筝\n岁月涌动了红尘
许嵩	城府	你的城府有多深\n我爱的有多蠢	是我太笨\n还是太认真 幻想和你过一生
许嵩	城府	一字一字\n宣告我们和平分手	好委婉的交流\n还带一点征求
许嵩	城府	你走之后\n 一个夏季熬成一个秋	我的书上你的正楷眉清目秀\n一字一字宣告我们和平分手
汪苏泷	吃土	吃点土 不算苦\n等我薪水两千五	找师傅 纹老虎\n图案找错纹老鼠
李圣杰	痴心绝对	想用一杯Latte把你灌醉\n好让你能多爱我一点	暗恋的滋味你不懂这种感觉\n早有人陪的你永远不会
李圣杰	痴心绝对	明知道让你离开他的世界\n不可能会	我还傻傻等到\n奇迹出现的那一天
李圣杰	痴心绝对	看见你和他在我面前\n证明我的爱只是愚昧	你不懂我的 那些憔悴\n是你永远不曾过的体会
李圣杰	痴心绝对	为你付出那种伤心\n你永远不了解	我又何苦勉强自己爱上你的一切\n你又狠狠逼退 我的防备
林俊杰	翅膀	用你给我的翅膀飞\n我感觉己够安慰	乌云也不再多\n我们也不为谁掉眼泪
林俊杰	翅膀	用你给我的翅膀飞\n我感觉已够安慰	乌云也不再多\n我们也不为谁掉眼泪
林俊杰	翅膀	用你给我的翅膀飞\n我懂这不是伤悲	再高都不会累\n我们都说好了
梁静茹	崇拜	你的姿态 你的青睐\n我存在 在 你的存在	你以为爱\n就是被爱
五月天	宠上天	你一个口令 我一个动作\n绝不拖延	你一个皱眉 我三条黑线\n整个高度警戒
薛之谦	丑八怪	有人用一滴泪 会红颜祸水\n有人丢掉称谓 什么也不会	只要你足够虚伪\n就不怕魔鬼 对不对
薛之谦	丑八怪	如果像你一样 总有人赞美\n围绕着我的卑微 也许能消退	其实我并不在意有很多机会\n像巨人一样的无畏
薛之谦	丑八怪	如果剧本写好\n谁比谁高贵	我只能沉默以对\n美丽本无罪
薛之谦	丑八怪	如果世界漆黑 其实我很美 在爱情里面进退 最多被消费	无关痛痒的是非\n又怎么不对 无所谓
薛之谦	丑八怪	如果世界漆黑 其实我很美\n在爱情里面进退 最多被消费	无关痛痒的是非\n又怎么不对 无所谓
薛之谦	初学者	像海浪撞过了山丘以后还能撑多久\n他可能只为你赞美一句后往回流	那娇艳的花盛开后等你来能撑多久\n还是被诗人折断了伤心了
薛之谦	初学者	围观的 自愿的\n做崇拜者	贪婪的 欺骗着\n初学者
薛之谦	初学者	在深夜的拥挤里人们举起无助的手\n却暗示着别人别找我在天亮以后	我怀念起没有雾霾的时候你的借口\n在不足几平方的脏乱里号称着自由
薛之谦	楚河汉界	你的军队过界\n想只手遮天 碰触我底线	军令放左手边\n宣誓要将你歼灭
薛之谦	楚河汉界	我用最最美的方式\n解决你	我用最最美的布阵\n把你留在我的棋里
薛之谦	楚河汉界	我用兵果断\n功车马连环 九宫能掀翻	你的千军万马\n请躺在我的城前
薛之谦	楚河汉界	那年群雄并起 想统一天下的你\n我血快要留尽	双手挡着你\n就让后人证明 用象牙刻成脸 刻你我英勇的野心
张杰	穿越人海	一阵阵秋风吹着脸 天有些凉了\n你的围巾还围在 脖子下面	已经有些旧了却不舍的丢掉\n那是为何从前的你把我的手
张杰	穿越人海	桌上一杯微凉的咖啡和没吃的面点\n一屋子无声无息的空间	穿上外衣却想起没有洗去的污点\n记得那是一支桔子味的冰点
张杰	穿越人海	茫茫的人海和往常一样装满了思念\n是否当初我们也 一样缠绵	已经泛红的夕阳有这 往常一样的鲜艳\n可如今 却又少 几件关于爱的事件
薛之谦	传说	你愿我忘记你 你是个传说	当听你哭声 \n我誓死不能
薛之谦	传说	千年后会有人从传说里	借月光将思念看清\n可雨停了雷鸣后我折了翼
薛之谦	传说	夜半琴弦声 思念两三声\n它随浪而来 一层一层	你言难开口 用鱼鳞做证\n说天定弄人 你爱我不能
薛之谦	传说	你愿我忘记你 你是个传说\n当听你哭声 我誓死不能	我知道那片禁海会很危险\n可我始终放不下对你的思念
薛之谦	传说	夜半琴弦声\n思念两三声	它随浪而来\n 一层一层
薛之谦	传说	浪如山雨如针都随风起	海的尽头住着你\n天问用双手换双翼可否愿意
薛之谦	传说	千年后会有人从传说里\n借月光将思念看清	可雨停了雷鸣后我折了翼\n别看我沉入海底
薛之谦	传说	浪如山雨如针都随风起\n海的尽头住着你	天问用双手换双翼可否愿意\n我放下双手去陪你
张韶涵	床边故事	每一晚每一夜我幻想都成真	这就是床边故事的魔力
五月天	闯	我烂命一条 走在路上 \n 影子在地上	像我的慌张\n黏在脚下抓着我不放
五月天	闯	为什么要给我一颗跳动的心脏 \n 又把我丢在这寂寞战场	这世界有多大我就有多彷徨\n有没有一点希望
汪峰	春天里	如果有一天 我老无所依\n请把我留在 在那时光里	如果有一天 我悄然离去\n请把我埋在 这春天里
汪峰	春天里	还记得许多年前的春天\n那时的我还没剪去长发	没有信用卡没有她\n没有24小时热水的家
王力宏	春雨里洗过的太阳	流下的眼泪 留下了智慧\n爱情会天亮 也一定会黑	世界会等我 它问我冬天过去没\n我在淋过一场大雨之后的晴朗
王力宏	春雨里洗过的太阳	分开之后另一年的春天\n记忆也像下雪一样溶解	那些有你在身边的影片\n呼的一声飞得老远老远
王力宏	春雨里洗过的太阳	我在淋过一场大雨之后的晴朗\n那是春雨里洗过的太阳	每个冬季带来失落 伤得多深\n然后忽然看懂云的形状
王力宏	春雨里洗过的太阳	爱在夏天过完之后锁在秋天\n捱过冬天之后的我好了一些	雨后的天上 彩虹出现 衬出一片蓝天
五月天	纯真	长长的路上 \n 我想我们是朋友	如果有期待我想最好是不说\n你总是微笑的 你总是不开口
蔡依林	唇唇欲动	Sexy pretty and juicy \n让你眼花又头晕	唇唇欲动的绝技\n你已经被我摆平
林忆莲	词不达意	我无法传达我自己\n从何说起	要如何翻译我爱你\n寂寞不已
五月天	雌雄同体	我要你 看到我 \n你不该猜测应该享受	我要你爱上我\n你不该猜测应该爱我
五月天	雌雄同体	可是你如何真的确定 \n 灵魂找到自己的样貌和身体	发现自己原来的雌雄同体
张信哲	从开始到现在	难道我就这样过我的一生\n我的吻注定吻不到最爱的人	为你等 从一开始盼到现在\n也同样落的不可能
刘欢	从头再来	昨天所有的荣誉\n已变成遥远的回忆	勤勤苦苦已度过半生\n今夜重又走入风雨
汪峰	存在	多少次荣耀却感觉屈辱\n多少次狂喜却倍受痛楚	多少次幸福却心如刀绞\n多少次灿烂却失魂落魄
汪峰	存在	谁知道我们该梦归何处\n谁明白尊严已沦为何物	是否找个借口继续苟活\n或是展翅高飞保持愤怒
蔡健雅	达尔文	有过竞争 有过牺牲\n被爱筛选过程	学会认真 学会忠诚\n适者才能生存
莫文蔚	打起手鼓唱起歌	我的手鼓纵情唱\n欢乐的歌声震山河	草原盛开幸福花\n花开千万朵
周杰伦	大笨钟	你仔细听 我从未爱过你\n怎么会想念你	发什么神经 有理说不清\n只是脑袋还不清醒
周杰伦	大笨钟	你说我比大笨钟还笨要怎么比\n吵架我太安静钟至少还有声音	要我离开\n我早就打包好行李 喝完这杯咖啡我就走
周杰伦	大笨钟	过这么久 怎么还没见我还你DVD\n再不打给我 我就不打算追回你	我走在你喜欢的电影场景里\n你却不在我想要的场景里
王力宏	大城小爱	屋顶灰色瓦片安静的画面 \n 灯火是你美丽那张脸	终于找到所有流浪的终点\n你的微笑结束了疲倦
王力宏	大城小爱	千万不要说天长地久\n免的你觉的我不切实际	想多么简单就多么简单\n是妈妈告诉我的哲理
王力宏	大城小爱	乌黑的发围盘成一个圈\n缠绕所有对你的眷恋	搁着半透明的脸\n嘴里说的语言完全没有欺骗
王力宏	大城小爱	脑袋都是你心里都是你\n小小的爱在大城里好甜蜜	念的都是你全部都是你\n小小的爱在大城里只为你倾心
许嵩	大千世界	你是大千世界尘埃等闲\n也是我仅有的风花雪月	爱死或是恨终我都感谢\n万花筒里消受幻影碎片
杨丞琳	带我走	带我走 到遥远的以后\n带走我 一个人自转的寂寞	带我走 就算我的爱 你的自由 都将成为泡沫\n我不怕 带我走
莫文蔚	单人房双人床	别说还有感觉\n你我都知道我们只能忠于直觉	正因为欠缺所以总不懂拒绝\n但又不再愿意为对方妥协
许嵩	单人旅途	黄昏骤雨过后\n濛濛的水边	有蓝色的蝴蝶\n画翩翩的弧线
许嵩	单人旅途	你有离开的理由\n我有闲适的理由	你 我 太多的不同\nNo No No 没什么参不透
许嵩	单人旅途	松 松 松\n松开了你的手	没有觉得一个人的旅途有何寂寞\n你有离开的理由
林志炫	单身情歌	抓不住爱情的我\n总是眼睁睁看它溜走	世界上幸福的人到处有\n为何不能算我一个
林志炫	单身情歌	找一个最爱的深爱的想爱的亲爱的人\n来告别单身	一个多情的 痴情的 绝情的 无情的人\n来给我伤痕
林俊杰	弹唱	你聆听我弹唱 我写的歌\n你每一首喜欢	弹着明天为你唱 你不在乎什么地方\n回到那食堂
林俊杰	弹唱	向往那么一天 临睡前\n我枕头边 你素颜	祈求你的睡眠\n要比我的还香甜
林俊杰	弹唱	那夜星空灿烂 你轻靠我的肩膀\n幸福感 抓着我不放	你在的片段\n我用心收藏
许嵩	弹指一挥间	你推开窗 \n花灯随烟波铺江上	露水凉 老船晃\n人惆怅
许嵩	弹指一挥间	弹指一挥间\n 红尘已缈远	沧海成荒野\n真情永不灭
张碧晨	当爱来敲门	未来的 某一天\n如果当爱来敲门	唯盼你出现\n我面前
张碧晨	当爱来敲门	从遇见之前 再到你出现\n浪费了多少时间	才要不顾一切 踮起脚尖\n去亲吻誓言 闭上双眼
林忆莲	当爱已成往事	往事不要再提\n人生已多风雨	纵然记忆抹不去\n爱与恨都还在心里
林忆莲	当爱已成往事	别留恋岁月中 我无意的柔情万种\n不要问我是否再相逢 不要管我是否言不由衷	为何你不懂\n只要有爱就有痛
林忆莲	当爱已成往事	因为我仍有梦\n依然将你放在我心中	总是容易被往事打动\n总是为了你心痛
刘若英	当爱在靠近	每一次当爱在靠近\n都好像在等你要怎么回应	天地都安静\n唯一不安的是你的决定
刘若英	当爱在靠近	真的想\n寂寞的时候 有个伴	日子再忙\n也有人一起吃早餐
林俊杰	当你	当你说今天的烦恼\n当你说夜深你睡不着	我想对你说 却害怕都说错\n好喜欢你 知不知道
林俊杰	当你	也许空虚让我想得太多\n也许该回到被窝	梦里会相遇 就毫不犹豫\n大声的说我要说
林俊杰	当你	当你的眼睛眯着笑\n当你喝可乐当你吵	我想对你好 你从来不知道 \n想你 想你 也能成为嗜好
汪峰	当我想你的时候	至少有十年我不曾流泪\n至少有十首歌给我安慰	可现在我会莫名的哭泣\n当我想你的时候
李玟	刀马旦	我 还在想 到底身在何方\n我 变模样 是个华裔姑娘	我 开始想 认真细心装扮\n我 回台上 终於轮我上场
蔡依林	倒带	我受够了等待你所谓的安排\n说的未来到底多久才来	总是要来不及才知道我可爱\n我想依赖而你却都不在
蔡依林	倒带	终於看开爱回不来\n我们面前太多阻碍	你的手却放不开\n宁愿没出息求我别离开
蔡依林	倒带	终于看开爱回不来\n而你总是太晚明白	最後才把话说开\n哭着求我留下来
蔡依林	倒带	应该开心的地带 你给的全是空白\n一个人假日发呆 找不到人陪我看海	我在幸福的门外 却一直都进不来\n你累积给的伤害 我是真的很难释怀
蔡依林	倒带	我在幸福的门外\n却一直都进不来	你累积给的伤害\n我是真的很难释怀
萧敬腾	倒带	我受够了等待你所谓的安排	说的未来到底多久才来\n总是要来不及 才知道我可爱
萧敬腾	倒带	从我脸上的苍白	看到记忆慢下来
萧敬腾	倒带	终於看开爱回不来	而你总是太晚明白\n最后才把话说开 哭着求我留下来
